path,bpm,rms,centroid,score,tier
99_Archive/clean/Young & Beautiful (Cam Stockman Edit) - Decent Master.wav,129.2,0.14745,3068.6,0.4414,3
99_Archive/clean/You Just Might (Original Mix).mp3,129.2,0.26472,2878.8,0.6512,4
99_Archive/clean/tINI - Port.wav,129.2,0.0845,1561.9,0.2701,2
99_Archive/clean/Vibe Off You (Extended Mix).mp3,129.2,0.29535,3502.2,0.7639,4
99_Archive/clean/Underrated Groove (Original Mix).mp3,129.2,0.26741,1079.9,0.5429,3
99_Archive/clean/Get Out (Original Mix).mp3,86.13,0.22962,2625.5,0.3433,2
99_Archive/clean/Home (Original Mix).mp3,129.2,0.22125,2397.6,0.5088,3
99_Archive/clean/Hot Tub Diaries (Original Mix).mp3,129.2,0.26997,3069.1,0.6857,4
99_Archive/clean/Impulsive (Original Mix).mp3,129.2,0.17717,2421.3,0.4177,3
99_Archive/clean/IZAA KIZAA (Original Mix).mp3,129.2,0.27262,2327.6,0.6122,4
99_Archive/clean/Jacky's Loop (Original Mix).mp3,129.2,0.2835,1750.1,0.5931,3
99_Archive/clean/Lucky Ones (Original Mix).mp3,129.2,0.31204,3153.2,0.7586,4
99_Archive/clean/Out Of Hand (Original Mix).mp3,129.2,0.21524,3169.0,0.578,3
99_Archive/clean/Paranoid (Original Mix).mp3,129.2,0.19722,2498.3,0.4655,3
99_Archive/clean/Reggae Fusion (Deep Mix).mp3,129.2,0.2306,3629.0,0.6458,4
99_Archive/clean/Step By Step (Original Mix).mp3,66.26,0.20544,2248.9,0.2251,2
99_Archive/clean/Stranger (Voigtmann Remix).mp3,129.2,0.25812,2557.6,0.6079,4
99_Archive/clean/Swirl (Original Mix).mp3,129.2,0.32877,1859.5,0.6527,4
99_Archive/clean/The Prosecutor (Original Mix).mp3,129.2,0.28136,2380.1,0.6361,4
99_Archive/clean/Una Más (Kolter Remix).mp3,129.2,0.22482,2800.3,0.5581,3
99_Archive/clean/Times Lost (Original Mix).mp3,129.2,0.27581,3017.7,0.6902,4
99_Archive/clean/Tintinnabulum (Original Mix).mp3,123.05,0.30659,1867.0,0.487,3
99_Archive/clean/Tornado (Original Mix).mp3,129.2,0.17193,2729.9,0.442,3
99_Archive/clean/Tortuga (Huerta's Ayo Marcus Mix).mp3,136.0,0.21898,1611.2,0.554,3
99_Archive/clean/Tricky (Original Mix).mp3,129.2,0.29041,2730.2,0.6858,4
99_Archive/clean/U & Me (Forever Mix).mp3,129.2,0.18602,1402.5,0.3754,2
99_Archive/clean/Kasablanca & Innellea/Lost/01 Lost (extended mix).mp3,123.05,0.32308,1872.4,0.506,3
99_Archive/clean/Mydoz/Music/01 Music (extended mix).mp3,123.05,0.27895,2664.3,0.5149,3
99_Archive/clean/Adam Ten & Maori/Spring Girl (Extended)/01 Spring Girl (Extended).mp3,123.05,0.26934,2178.5,0.4541,3
99_Archive/clean/Roza Terenzi & D. Tiffany/Edge of Innocence/02 Roza Terenzi & D. Tiffany - Gravity Bongo.flac,136.0,0.18285,1487.3,0.473,3
99_Archive/clean/Roza Terenzi & D. Tiffany/Edge of Innocence/03 Roza Terenzi & D. Tiffany - Liquorice Skritch.flac,136.0,0.19125,1634.5,0.4981,3
99_Archive/clean/Roza Terenzi & D. Tiffany/Edge of Innocence/05 Roza Terenzi & D. Tiffany - Grains of Sand.flac,136.0,0.15558,2553.5,0.4991,3
99_Archive/clean/Roza Terenzi & D. Tiffany/Edge of Innocence/01 Roza Terenzi & D. Tiffany - Spiritual Delusion.flac,103.36,0.12828,2225.0,0.1577,1
99_Archive/clean/Roza Terenzi & D. Tiffany/Edge of Innocence/06 Roza Terenzi & D. Tiffany - Paparazzi.flac,103.36,0.15862,1747.2,0.1542,1
99_Archive/clean/Roza Terenzi & D. Tiffany/Edge of Innocence/08 Roza Terenzi & D. Tiffany - Possession.flac,117.45,0.07818,1324.5,0.0925,1
99_Archive/clean/Roza Terenzi & D. Tiffany/Edge of Innocence/07 Roza Terenzi & D. Tiffany - Redemption Arc.flac,161.5,0.13519,2492.4,0.52,3
99_Archive/clean/Pavel Petrov/Never Fake (Original Mix)/01 Never Fake (Original Mix).mp3,123.05,0.31204,2804.3,0.5755,3
99_Archive/clean/Roza Terenzi/Mood EP/02 Mood.flac,123.05,0.20177,2170.5,0.3041,2
99_Archive/clean/Roza Terenzi/Mood EP/01 Double Reflection.flac,129.2,0.21172,2005.2,0.4617,3
99_Archive/clean/Roza Terenzi/Mood EP/03 Out of My Mind.flac,129.2,0.21839,2951.1,0.5594,3
99_Archive/clean/Roza Terenzi/Mwah/02 Gigi.flac,123.05,0.13533,2367.1,0.2177,2
99_Archive/clean/Roza Terenzi/Mood EP/04 Out of My Mind (Jensen Interceptor remix).flac,129.2,0.17342,3367.7,0.5132,3
99_Archive/clean/Roza Terenzi/Mwah/01 Mwah.flac,123.05,0.10665,4129.0,0.3235,2
99_Archive/clean/Roza Terenzi/Mwah/03 Rare High.flac,117.45,0.12498,2555.0,0.1982,1
99_Archive/clean/Roza Terenzi/Mwah/04 Soft.flac,83.35,0.09021,4495.6,0.2398,2
99_Archive/clean/Adam Pits/Element X/01 Gazza.flac,68.0,0.22406,2347.6,0.2795,2
99_Archive/clean/Max Styler/Don't Stop EP/01 Let Em' Know.mp3,129.2,0.31742,3043.5,0.754,4
99_Archive/clean/Empire of the Sun/We Are The People (Jimmy2sox Remix)/01 We Are The People (Jimmy2sox Remix) (1).mp3,123.05,0.22594,2832.8,0.4213,3
99_Archive/clean/Various Artists/12 Inch Dance_ Indie/3-03 Kylie Minogue - Can’t Get Blue Monday Out of My Head (original 12″ mix).flac,129.2,0.22978,2587.2,0.5509,3
99_Archive/clean/Various Artists/Anthems of_ House/1-15 Underworld - Two Months Off.flac,136.0,0.22587,2511.0,0.6351,4
99_Archive/clean/Various Artists/Artefacts/03 DJ Compass Vrubell - Captain of the Loo.flac,129.2,0.22734,1589.2,0.474,3
99_Archive/clean/Various Artists/Artefacts/10 SCSI‐9 - Morning Star.flac,123.05,0.21069,1105.4,0.2775,2
99_Archive/clean/Various Artists/Artefacts/11 Novel 23 - L’mira.flac,123.05,0.21084,1521.4,0.288,2
"99_Archive/clean/Various Artists/Beats and Pieces, Volume Three/1-03 Erro - Don’t Change (main mix).flac",129.2,0.1168,2885.6,0.3993,2
99_Archive/clean/Various Artists/CAPITAL RISQUE VOL.1/03 DJ Mell G - On Ma Back.flac,86.13,0.15442,1949.4,0.1398,1
99_Archive/clean/Various Artists/Coastal Breaks II/1-08 Sabotage - I Saw the Future (Sabotage remix).mp3,129.2,0.08211,2881.7,0.3801,2
99_Archive/clean/Various Artists/CAPITAL RISQUE VOL.1/07 DJ これからの緊急災害 - Moneygram.flac,71.78,0.22273,1825.4,0.2423,2
99_Archive/clean/Various Artists/Harmony House_ The Compilation/1-03 Andrea Mendez - Bring Me Love (Eventual dub).mp3,123.05,0.1204,3586.9,0.3192,2
99_Archive/clean/Various Artists/Hed Kandi_ Disco Kandi 05.02/2-05 Mousse T. feat. Emma Lanford - Fire (Mousse T's Explosive mix).flac,123.05,0.20165,3070.9,0.3953,2
"99_Archive/clean/Various Artists/In Existence, Vol. 4/03 Alexey Union - Acid Trip.mp3",123.05,0.32089,2150.4,0.5281,3
99_Archive/clean/Various Artists/NOSMOKING01/07 Vibes Kartel - Rhythm Mi Ride (4x4 mix).mp3,92.29,0.27284,3813.2,0.5463,3
99_Archive/clean/Various Artists/Natural House/2-10 Can 7 - Eternally (Levent's Ascenseur Club mix).flac,129.2,0.18084,2632.6,0.449,3
99_Archive/clean/Various Artists/Pacha Ibiza_ The House Collection (2000–2009)/13 Yeah Yeah Yeahs - Heads Will Roll (A Trak remix).mp3,129.2,0.2565,1610.4,0.5408,3
"99_Archive/clean/Various Artists/Pre-Rolled Joints, Vol. 5_ 100% House/07 Keep Ya Head.flac",136.0,0.25974,3791.6,0.8204,5
99_Archive/clean/Various Artists/Serious Beats 75_ The 3rd Saga of House/16 Kenny Hawkes feat. Louise Carver - Play the Game (extended mix).flac,123.05,0.1511,3141.0,0.3163,2
99_Archive/clean/Various Artists/Solid Sounds [Format 5]/2-10 Dave Angel - Funk Music (DJ Tonka remix).flac,86.13,0.19717,2580.0,0.2668,2
99_Archive/clean/Various Artists/Stereo Sushi 3/1-06 Jody Watley - Photographs (Restless Soul remix).flac,83.35,0.07757,3105.8,0.1787,1
99_Archive/clean/Various Artists/Sunsets/12 Suntrust - How Intensive.flac,123.05,0.0907,1868.8,0.1513,1
99_Archive/clean/Various Artists/Toolroom House Party Vol. 2/10 Oliver Heldens feat. Rowetta - Rave Machine (extended mix).mp3,123.05,0.27269,3218.9,0.5674,3
99_Archive/clean/Various Artists/Toolroom House Party Vol. 2/29 Steve Lawler & Jansons - Don’t Ask (Jansons extended mix).mp3,129.2,0.25835,2828.7,0.6409,4
99_Archive/clean/Various Artists/Toolroom House Party Vol. 2/51 Junior Sanchez - Division (extended mix).mp3,123.05,0.312,3129.3,0.6157,4
99_Archive/clean/Various Artists/Unreleased Digital Classics 2/09 Dinka - Canonball (Jean Elan remix).flac,123.05,0.26178,672.9,0.3931,2
99_Archive/clean/Blaze/Spiritually Speaking/04 Blaze feat. Palmer Brown - Do You Remember House_.flac,129.2,0.13064,3168.1,0.4462,3
99_Archive/clean/Asad Rizvi/Apathy feat. Lauren Kitara (Original Mix).mp3,123.05,0.19043,3060.1,0.3745,2
99_Archive/clean/Timo Maas/Loud/01 Timo Maas feat. Kelis - Help Me.flac,123.05,0.24682,2469.1,0.4318,3
99_Archive/clean/Masters at Work/Our Time Is Coming/1-02 Masters at Work - Like a Butterfly (You Send Me).flac,123.05,0.19515,2680.1,0.3401,2
99_Archive/clean/Man_ipulate/Dimension.flac,129.2,0.15454,3272.9,0.4778,3
99_Archive/clean/Man_ipulate/1st Date.flac,123.05,0.14934,2643.4,0.2604,2
99_Archive/clean/Man_ipulate/Eternity EP/01 Eternity (original mix).flac,129.2,0.13958,3703.2,0.4909,3
99_Archive/clean/Salomo/Power of Love/01 Colour of Love.flac,136.0,0.25146,2396.0,0.6829,4
99_Archive/clean/Cinthie/DJ-Kicks_ Cinthie/01 Terrence Parker - I Love the Way You Hold Me (TP’s Bangin’ House Re-Edit).flac,80.75,0.23132,3201.0,0.395,2
99_Archive/clean/Man_ipulate/Shinsei/05 Insidynamic.wav,172.27,0.22149,3295.6,0.7586,4
99_Archive/clean/Tino/Set You Free/02 Tinto!.flac,123.05,0.25247,3243.4,0.5318,3
99_Archive/clean/Tino/Set You Free/04 Obsession.flac,123.05,0.2308,3698.5,0.5113,3
99_Archive/clean/Tino/Set You Free/01 Set You Free.flac,99.38,0.19948,2565.8,0.2871,2
99_Archive/clean/Asad Rizvi/Smiling at the Sun/01 Smiling at the Sun.flac,129.2,0.09367,3105.0,0.414,3
99_Archive/clean/Theo Kottis/Lighthouse/01 Lighthouse.flac,136.0,0.23475,2503.9,0.6549,4
99_Archive/clean/Central/Up and Down/1-01 Anix.flac,129.2,0.1477,2743.3,0.4144,3
99_Archive/clean/Killer DJs/The Killer EP/01 2.1.flac,64.6,0.13683,3838.4,0.2489,2
99_Archive/clean/Soul Mass Transit System/GSC004/01 Wine VIP.flac,92.29,0.19082,3093.6,0.324,2
99_Archive/clean/Satoshi Tomiie/Global Underground_ Nubreed 006/1-06 Lexicon Avenue - From Dusk Till Dawn (Sander Kleinenberg's Audio Paranoid remix).mp3,123.05,0.2971,2196.9,0.5082,3
99_Archive/clean/The Cardigans/Lovefool (Todd Terry Remixes)/03 Lovefool (Tee's Freeze club).flac,83.35,0.15556,2819.2,0.2014,2
99_Archive/clean/Tori Amos/Professional Widow/02 Professional Widow (Armand's Star Trunk Funkin' mix).flac,129.2,0.13415,3419.4,0.4705,3
99_Archive/clean/The Stone Roses/Fools Gold/02 Fools Gold (Rabbit in the Moon's Message to the Majors).flac,123.05,0.16878,1933.2,0.2289,2
99_Archive/clean/John Course & Mark Dynamix/The 2005 Annual/2-01 Mylo - Drop the Pressure.flac,129.2,0.15712,2669.1,0.4165,3
99_Archive/clean/COEO/Planet Earth/01 Planet Earth.mp3,66.26,0.22425,3045.9,0.3484,2
99_Archive/clean/Eden Burns/Big Beat Manifesto Vol. II/01 Invercargill.mp3,129.2,0.15807,2976.5,0.4507,3
99_Archive/clean/COEO/Disco Volante EP/01 Like It Is.flac,117.45,0.24401,2436.1,0.3921,2
"99_Archive/clean/MixmstrStel/Dirty Water Mashups Vol. 1 (Deluxe Edition)/20 MixmstrStel - Billie Jean's Crew [Mixshow] (HIGHLITE, Michael Jackson).mp3",123.05,0.23234,3584.1,0.5104,3
99_Archive/clean/Eden Burns/Big Beat Manifesto Vol. VII/03 House Non Stop.flac,83.35,0.1653,2854.7,0.2216,2
99_Archive/clean/Metro Area/Metro Area/02 Miura.mp3,123.05,0.14694,2605.1,0.2536,2
99_Archive/clean/Eden Burns/Big Beat Manifesto Vol. VII/03 House Non Stop.wav,83.35,0.0736,1797.5,0.058,1
99_Archive/clean/Client_03/User Viewport/03 Wavefile_Dayjob (1).flac,89.1,0.31819,2678.5,0.5115,3
99_Archive/clean/Client_03/User Viewport/04 Love and or Hate Trigger.flac,89.1,0.26132,3393.1,0.4995,3
99_Archive/clean/Bailey Ibbs/Fantasia.wav,66.26,0.23977,3560.3,0.4225,3
99_Archive/clean/Blaze vs. Dennis Ferrer/Lovelee Dae (Riso & Matthijs Wentink bootleg).mp3,123.05,0.261,3062.0,0.5315,3
"99_Archive/clean/Jadzia, Cyan85, Viikatory & Leshutler/International Chromies, Vol. 4/04 Leshutler - Leerheit.flac",129.2,0.12626,3032.0,0.4267,3
"99_Archive/clean/Jadzia, Cyan85, Viikatory & Leshutler/International Chromies, Vol. 4/02 Cyan85 - Cyber Rage.flac",71.78,0.23581,3438.6,0.4176,3
99_Archive/clean/DJ MELL G/ISSUES/01 ISSUES (INTRO).flac,129.2,0.08492,2781.4,0.3733,2
99_Archive/clean/DJ MELL G/ISSUES/02 DISTURBED MIND.flac,95.7,0.28962,1337.2,0.398,2
99_Archive/clean/DJ MELL G/ISSUES/04 GREATEST DESIRE (2Am Hope Mix).flac,136.0,0.21107,1619.3,0.5404,3
99_Archive/clean/DJ MELL G/ISSUES/03 WHAT I FEAR.flac,143.55,0.13292,2309.4,0.4875,3
99_Archive/clean/DJ MELL G/ISSUES/05 BORDERLINE.flac,184.57,0.22767,1410.3,0.6203,4
99_Archive/clean/DJ MELL G/ISSUES/06 BEYOND 70.flac,112.35,0.32374,1554.1,0.4595,3
"99_Archive/clean/Hermeth, Riot Code, Re_drum, Dagga, YTP/PERFUSION 02/02 Riot Code - I'll Be Back.flac",152.0,0.32031,2960.4,0.8912,5
99_Archive/clean/Daniele Papini/Hidden Source/02 No Haste.flac,129.2,0.07534,1365.9,0.269,2
"99_Archive/clean/Hermeth, Riot Code, Re_drum, Dagga, YTP/PERFUSION 02/03 Re_drum - Tabor.flac",89.1,0.33014,2695.9,0.5217,3
"99_Archive/clean/Hermeth, Riot Code, Re_drum, Dagga, YTP/PERFUSION 02/04 Dagga - Floor Seats.flac",92.29,0.35126,2647.9,0.5324,3
99_Archive/clean/Daniele Papini/Archive II/01 The third zone.flac,123.05,0.25991,818.8,0.3908,2
99_Archive/clean/Daniele Papini/Pixel _ Church of Nonsense/02 Church of Nonsense.flac,129.2,0.13569,1361.9,0.3103,2
99_Archive/clean/Dead Man’s Chest & Tim Reaper/LOREFR001/01 Pure Energy.flac,161.5,0.22077,2385.9,0.6579,4
99_Archive/clean/Dead Man’s Chest & Tim Reaper/LOREFR001/02 Starr Peak.flac,161.5,0.12893,3909.3,0.6306,4
99_Archive/clean/Dead Man’s Chest & Tim Reaper/LOREFR001/03 Starr Peak (Tim Reaper remix).flac,112.35,0.19235,2869.6,0.3192,2
99_Archive/clean/Guy Contact/Contact Therapy Volume.1/01 Oh No (Rave Mix).mp3,129.2,0.24076,2388.5,0.5595,3
99_Archive/clean/MYKI/Delenya/02 Vertigo (Roza Terenzi Remix).flac,92.29,0.14531,1548.6,0.1215,1
99_Archive/clean/Guy Contact/Contact Therapy Volume.1/02 Lemme Tell You Something.mp3,129.2,0.26401,2785.1,0.6516,4
99_Archive/clean/Guy Contact/Contact Therapy Volume.1/03 Give Me A Big Beat!.mp3,136.0,0.26038,2493.6,0.7115,4
99_Archive/clean/Guy Contact/Contact Therapy Volume.1/04 Anybody Out There_.mp3,123.05,0.2207,3066.8,0.4424,3
99_Archive/clean/Milk & Sugar/Beach Sessions 2017/17 Rosario Galati & Yves Murasca - From the Stars (original mix).mp3,123.05,0.26148,3009.9,0.5257,3
99_Archive/clean/Marlow/Trust in Me/02 Hotel Gérard.mp3,123.05,0.23744,2487.0,0.4149,3
99_Archive/clean/slump/Flashbacks from Black Dust Country/08 Trip Sitter.flac,123.05,0.13016,2613.4,0.2414,2
99_Archive/clean/Maelstrom/Maelstrom/08 Maelstrom Vs. NDSA _ Harbour Candy.mp3,123.05,0.29025,2078.5,0.4912,3
99_Archive/clean/Dina Ayada/The Rise/06 Ballin'.flac,83.35,0.11625,2038.1,0.0994,1
99_Archive/clean/Guy Contact/Energy Obsession/01 Energy Obsession.flac,129.2,0.19968,2458.8,0.4749,3
99_Archive/clean/Cherry Moon Trax/The House Of House/01 The House Of House (Oliver Lieb Mix 1).flac,123.05,0.24205,1684.1,0.3679,2
99_Archive/clean/Sunship/Is This Real/04 Friendly Pressure (Into the Sunshine mix).flac,129.2,0.27573,2770.1,0.6706,4
99_Archive/clean/Chaos in the CBD/A Deeper Life/13 Chaos in the CBD - Marlboro Sounds.mp3,123.05,0.15733,3131.1,0.3281,2
99_Archive/clean/Chaos in the CBD/Global Erosion _ Background Explorer/01 Global Erosion.mp3,123.05,0.14193,1651.9,0.1828,1
99_Archive/clean/Locklead/Freekazoid/02 Freekazoid (Ruff Mix).flac,129.2,0.2235,2912.5,0.5758,3
99_Archive/clean/Locklead/Freekazoid/03 Rumpshaker.flac,129.2,0.16975,3097.6,0.4889,3
99_Archive/clean/Voilaaa/Remixes/03 Spies Are Watching Me (Patchworks Remix).flac,129.2,0.10593,2713.1,0.3781,2
99_Archive/clean/Filip Bogalski/124 2Pac -Changes- (Remix by DJ-May Dj Jean).mp3,89.1,0.10695,3065.9,0.2092,2
99_Archive/clean/Movin' Souls Feat. Daddy Freddy/Non Stop Juggelin' (Hey Gringo) (Original Extended Version).flac,129.2,0.21097,2594.8,0.515,3
99_Archive/clean/Toman/A Quarter To Molly (Original Mix).mp3,129.2,0.26858,3045.1,0.6909,4
99_Archive/clean/Toman/Emotion/01 Emotion (Extended Mix) Toman.mp3,129.2,0.31278,2073.1,0.6654,4
99_Archive/clean/Toman/ENDZ035/01 High Ceilings.mp3,129.2,0.27513,2308.2,0.6286,4
99_Archive/clean/Toman/ENDZ035/02 Le Premier.mp3,129.2,0.30571,2639.0,0.7048,4
99_Archive/clean/Ray Okpara/Ebele EP/01 A Belover For.mp3,123.05,0.17514,2275.1,0.2684,2
99_Archive/clean/John Foxx and Nation 12/Electrofear/16 Remember (Sub dub mix).flac,129.2,0.06665,3960.4,0.4571,3
99_Archive/clean/Disclosure/Settle (Special Edition)/1-03 Disclosure feat. Sam Smith - Latch.wav,123.05,0.25468,2076.6,0.4266,3
99_Archive/clean/Danny Howells & Dick Trevor feat. Erire/Dusk Till Dawn/02 Dusk Till Dawn (Jay Tripwire Robofunk dub).mp3,63.02,0.10604,2098.6,0.0724,1
99_Archive/clean/Lakosa & Rick Grant/Dusk/02 Dusk (Ejeca remix).mp3,86.13,0.24047,3039.7,0.4098,3
99_Archive/clean/SamBRNS/Drummer (Original Mix).mp3,123.05,0.29624,2754.6,0.5603,3
99_Archive/clean/SamBRNS/Drummer EP/02 Real Deep.mp3,129.2,0.26404,4089.7,0.7443,4
99_Archive/clean/Simbad/Dream On/05 Dream On (dub).mp3,92.29,0.15909,4498.8,0.323,2
"99_Archive/clean/D&G/Dubs & Grooves, Vol. 1/02 Request Line.wav",86.13,0.15959,2626.2,0.2029,2
99_Archive/clean/Dolly/Don’t Forget the Moonscreen/01 Bass Xertz.flac,129.2,0.18729,2533.4,0.4608,3
99_Archive/clean/Mylo vs Miami Sound Machine/Doctor Pressure/02 Mylo vs Miami Sound Machine - Doctor Pressure (dirty club mix).mp3,129.2,0.14727,2832.5,0.4288,3
99_Archive/clean/Dolly/Don’t Forget the Moonscreen/02 Organ Lab.flac,123.05,0.19542,1692.3,0.2705,2
99_Archive/clean/Dolly/Don’t Forget the Moonscreen/04 Mellow Fellow (slo mix).flac,143.55,0.05426,2087.1,0.4278,3
99_Archive/clean/Moodymann/Black Mahogani/05 I’m Doing Fine.flac,117.45,0.11622,1573.2,0.1227,1
99_Archive/clean/Dolly/Don’t Forget the Moonscreen/03 Don’t Forget the Moonscreen.flac,123.05,0.15997,3735.1,0.3737,2
99_Archive/clean/Arseslaughter/Disgrace to the Corpse of Arse/94 Heartwork.mp3,129.2,0.24625,1423.0,0.5166,3
99_Archive/clean/DJ Boring/DJ‐Kicks_ DJ BORING/2-10 Burnski - Pacific.flac,66.26,0.31951,2596.2,0.4707,3
99_Archive/clean/Avalon Emerson/DJ-Kicks_ Avalon Emerson/06 Little Mike - Dirty Pusherman (original Filthy mix).flac,123.05,0.19029,3927.6,0.4348,3
99_Archive/clean/dynArec/Disenchanted/01 Disenchanted.flac,89.1,0.25105,2267.9,0.3645,2
99_Archive/clean/DiSKOP/Disk 06/02 Boost.flac,129.2,0.05129,4184.0,0.4574,3
99_Archive/clean/dynArec/Disenchanted/02 Correlation.flac,129.2,0.23787,2194.3,0.5408,3
99_Archive/clean/dynArec/Disenchanted/03 Influoncers.flac,136.0,0.17577,1504.0,0.463,3
99_Archive/clean/dynArec/Disenchanted/04 Clean It Up.flac,136.0,0.24615,2397.2,0.6692,4
99_Archive/clean/Nite Fleit/Sycophantic Romantic/01 Toxic by Proxy.flac,129.2,0.17276,2158.5,0.4037,3
99_Archive/clean/Nite Fleit/Sycophantic Romantic/02 Sycophantic Romantic.flac,143.55,0.31326,1725.8,0.7676,4
99_Archive/clean/Nite Fleit/Sycophantic Romantic/03 Malfunction.flac,69.84,0.29107,1408.6,0.3619,2
99_Archive/clean/Nite Fleit/Sycophantic Romantic/04 Bystander in Full Effect.flac,129.2,0.18917,2266.1,0.443,3
99_Archive/clean/Nite Fleit/The Present/01 A Mind Out of Sight.flac,136.0,0.19458,1812.5,0.5139,3
99_Archive/clean/Nite Fleit/The Present/02 Dizzy Edge.flac,136.0,0.2249,1481.9,0.5667,3
99_Archive/clean/Nite Fleit/The Present/06 Fully Sunny.flac,136.0,0.19451,1454.7,0.4995,3
99_Archive/clean/Nite Fleit/The Present/03 Destroyer.flac,143.55,0.2058,2390.0,0.61,4
99_Archive/clean/Nite Fleit/The Present/04 Chemical Generation.flac,112.35,0.24299,2291.2,0.372,2
99_Archive/clean/Nite Fleit/The Present/05 Shadow Baby.flac,136.0,0.19698,1079.7,0.4961,3
99_Archive/clean/Nite Fleit/The Present/07 Electromagnetism.flac,136.0,0.24426,1753.6,0.6202,4
99_Archive/clean/Nite Fleit/The Present/08 Earth Dreams.flac,129.2,0.22238,1448.7,0.4669,3
99_Archive/clean/Nite Fleit/The Present/09 Rinse & Repeat.flac,112.35,0.40726,1403.3,0.4761,3
99_Archive/clean/Nite Fleit/The Present/10 Metallic Muse.flac,136.0,0.21611,1697.8,0.5564,3
99_Archive/clean/Nite Fleit/The Present/11 Defense Mechanisms.flac,69.84,0.31225,1817.0,0.4054,3
99_Archive/clean/Nite Fleit/The Present/12 Alienated Together.flac,69.84,0.30029,2025.6,0.4071,3
99_Archive/clean/Nite Fleit/The Present/13 Land Before Time.flac,136.0,0.18373,1830.5,0.4947,3
99_Archive/clean/Nite Fleit/The Present/18 Clockwork.flac,68.0,0.30371,1201.7,0.3709,2
99_Archive/clean/Nite Fleit/The Present/15 Ciao Pez.flac,69.84,0.13979,2765.6,0.1728,1
99_Archive/clean/Nite Fleit/The Present/17 Eager Beaver’s Clever Game.flac,136.0,0.13449,2618.1,0.4891,3
99_Archive/clean/Nite Fleit/The Present/14 Swiftly Now.flac,136.0,0.12528,1723.4,0.4139,3
99_Archive/clean/Nite Fleit/The Present/16 Fixed Stare Grip.flac,136.0,0.12369,2966.6,0.5185,3
99_Archive/clean/Nite Fleit/The Present/19 Delicate Balance.flac,136.0,0.14706,1415.1,0.4221,3
99_Archive/clean/Nite Fleit/The Present/21 Sidestep.flac,136.0,0.2444,2467.1,0.6744,4
99_Archive/clean/Nite Fleit/The Present/20 No Mystery.flac,136.0,0.19777,1407.6,0.5061,3
99_Archive/clean/Nite Fleit/The Present/22 Garbage in Garbage Out.flac,143.55,0.29239,1470.1,0.7331,4
99_Archive/clean/Nite Fleit/The Present/23 The Technologies of Pleasure.flac,136.0,0.21813,1571.3,0.556,3
99_Archive/clean/Nite Fleit/The Present/24 Tideshift.flac,69.84,0.2048,2367.5,0.239,2
99_Archive/clean/Nite Fleit/The Present/25 Underestimate the Grip.flac,136.0,0.24151,1196.8,0.5975,3
99_Archive/clean/Nite Fleit/The Present/26 Anatomy of Melancholy.flac,136.0,0.17063,2534.5,0.5291,3
99_Archive/clean/Nite Fleit/The Present/27 Paralysis.flac,136.0,0.28401,1506.5,0.6963,4
99_Archive/clean/Nite Fleit/The Present/29 Soft Sweet Air.flac,69.84,0.25299,2256.8,0.3394,2
99_Archive/clean/Nite Fleit/The Present/31 A Lil Deeper Than You Decide.flac,136.0,0.25209,2054.8,0.6639,4
99_Archive/clean/Nite Fleit/The Present/33 Lip Service.flac,107.67,0.2653,1137.2,0.361,2
99_Archive/clean/Nite Fleit/The Present/30 Cool Milds Look Wild.flac,136.0,0.15234,1838.7,0.4481,3
99_Archive/clean/Nite Fleit/The Present/28 Ruthless.flac,129.2,0.2244,1161.6,0.4659,3
99_Archive/clean/Nite Fleit/The Present/32 86 Tales of Finley.flac,136.0,0.17466,2276.9,0.5134,3
99_Archive/clean/Nite Fleit/The Present/36 Orbital Resonance.flac,136.0,0.12598,1510.3,0.4097,3
99_Archive/clean/Nite Fleit/The Present/34 Just a Story We Tell Ourselves.flac,89.1,0.18976,1980.6,0.2102,2
99_Archive/clean/Nite Fleit/The Present/35 Watch the Moon Drop.flac,129.2,0.2073,2034.2,0.4637,3
99_Archive/clean/Armand van Helden/Ghettoblaster (Deluxe Version)/03 Armand van Helden - I Want Your Soul.flac,129.2,0.31029,3788.3,0.8106,5
99_Archive/clean/2 Full Minds feat. E.Q_/No Smoke Remixes/04 No Smoke (Housey Doings remix).mp3,136.0,0.10042,1857.4,0.4065,3
"99_Archive/clean/89 Feat. Dariam Coco/Asa Tate, Dariam Coco (Original Mix) 127.mp3",129.2,0.2719,1815.1,0.5889,3
99_Archive/clean/Armand van Helden/You Don’t Know Me_ The Best Of/09 Ultrafunkula.wav,129.2,0.11457,1826.4,0.3181,2
99_Archive/clean/49° South/Love Somebody's Trigger Finger.flac,83.35,0.10893,2237.4,0.1084,1
99_Archive/clean/1130/Jesse Maas (Original Mix) 134.mp3,89.1,0.2191,4484.5,0.4348,3
99_Archive/clean/A Calling/Kennedy (Original Mix) 124.mp3,123.05,0.12996,2098.4,0.202,2
99_Archive/clean/A Million Things/Never Tear Us Apart (Disco) (Disco).mp3,123.05,0.19115,2861.3,0.3585,2
99_Archive/clean/Aaron Sevilla/My Body (Original Mix).mp3,83.35,0.23927,3520.3,0.4347,3
99_Archive/clean/Aaron Sevilla/New Mind (Original Mix).mp3,123.05,0.25593,3140.0,0.5352,3
99_Archive/clean/Aaron Mount/Hangry For You (BadWolf Remix).mp3,123.05,0.30735,2278.8,0.5305,3
